feature,importance
wind_speed_mph,0.21082887
humidity,0.20719402
pressure_in,0.15100037
temperature_f,0.103779495
accident_freq_historical,0.055717602
rolling_30day_accidents,0.042876426
moving_avg_30day,0.029977156
cluster_id,0.026389444
month,0.023839848
road_type_highway,0.02364364
day_of_week,0.020723954
visibility_mi,0.020611033
is_holiday,0.018388525
accidents_last_7days,0.0126349535
is_weekend,0.01246683
accidents_last_24h,0.0077455165
hour,0.007742429
rolling_7day_accidents,0.007149779
moving_avg_7day,0.006778583
moving_avg_3day,0.006573149
is_rush_hour,0.003938302
precipitation_in,0.0
is_severe_weather,0.0
